ID,Year_Birth,Age,Age_Range,Education,Marital_Status,Income,Kidhome,Teenhome,FamilyMember,Dt_Customer,Recency_x,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,WinesExpense,FruitsExpense,MeatExpense,FishExpense,SweetExpense,GoldExpense,TotalSpent,PurchasedItemTotal,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,FreqPurchased,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,PromoReceived,Response,PromoAcceptedCat,IncomeCategory,Recency_y,Frequency,Monetary,RFM Segment,RFM Score,RFM Level
5524,1957,57,Gen X,Bachelor,Single,58138.0,0,0,1,2012-09-04,58,635,88,546,172,88,88,20320,352,2730,1462.0,199.76,880,25943.76,1617,3,8,10,4,7,25,0,0,0,0,0,0,1,1,Accepted promos,Upper-Middle,58,25,25943.76,204,6,Need Attention
2174,1954,60,Baby Boomers,Bachelor,Single,46344.0,1,1,3,2014-03-08,38,11,1,6,2,1,6,352,4,30,17.0,2.27,60,465.27,27,2,1,1,2,5,6,0,0,0,0,0,0,0,0,Never accepted promos,Lower-Middle,38,6,465.27,321,6,Need Attention
4141,1965,49,Gen X,Bachelor,Cohabitation,71613.0,0,0,2,2013-08-21,26,426,49,127,111,21,42,13632,196,635,943.5,47.67,420,15874.17,776,1,8,2,10,4,21,0,0,0,0,0,0,0,0,Never accepted promos,Upper,26,21,15874.17,303,6,Need Attention
6182,1984,30,Millennials,Bachelor,Cohabitation,26646.0,1,0,3,2014-02-10,26,11,4,20,10,3,5,352,16,100,85.0,6.8100000000000005,50,609.81,53,2,2,0,4,6,8,0,0,0,0,0,0,0,0,Never accepted promos,Lower,26,8,609.81,321,6,Need Attention
5324,1981,33,Millennials,Doctoral,Married,58293.0,1,0,3,2014-01-19,94,173,43,118,46,27,15,5536,172,590,391.0,61.29,150,6900.29,422,5,5,3,6,5,19,0,0,0,0,0,0,0,0,Never accepted promos,Upper-Middle,94,19,6900.29,132,6,Need Attention
7446,1967,47,Gen X,Master,Cohabitation,62513.0,0,1,3,2013-09-09,16,520,42,98,0,42,14,16640,168,490,0.0,95.34,140,17533.34,716,2,6,4,10,6,22,0,0,0,0,0,0,0,0,Never accepted promos,Upper-Middle,16,22,17533.34,403,7,Promising Customer
965,1971,43,Millennials,Bachelor,Divorced,55635.0,0,1,2,2012-11-13,34,235,65,164,50,49,27,7520,260,820,425.0,111.23,270,9406.23,590,4,7,3,7,6,21,0,0,0,0,0,0,0,0,Never accepted promos,Upper-Middle,34,21,9406.23,303,6,Need Attention
6177,1985,29,Millennials,Doctoral,Married,33454.0,1,0,3,2013-05-08,32,76,10,56,3,1,23,2432,40,280,25.5,2.27,230,3009.77,169,2,4,0,4,8,10,0,0,0,0,0,0,0,0,Never accepted promos,Lower,32,10,3009.77,322,7,Promising Customer
4855,1974,40,Millennials,Doctoral,Cohabitation,30351.0,1,0,3,2013-06-06,19,14,0,24,3,3,2,448,0,120,25.5,6.8100000000000005,20,620.31,46,1,3,0,2,9,6,0,0,0,0,0,0,1,1,Accepted promos,Lower,19,6,620.31,421,7,Promising Customer
5899,1950,64,Baby Boomers,Doctoral,Cohabitation,5648.0,1,1,4,2014-03-13,68,28,0,6,1,1,13,896,0,30,8.5,2.27,130,1066.77,49,1,1,0,0,20,2,1,0,0,0,0,0,1,0,Accepted promos,Lower,68,2,1066.77,212,5,Need Attention
1994,1983,31,Millennials,Bachelor,Married,43057.0,1,0,3,2013-11-15,11,5,5,6,0,2,1,160,20,30,0.0,4.54,10,224.54,19,1,1,0,2,7,4,0,0,0,0,0,0,0,0,Never accepted promos,Upper,11,4,224.54,411,6,Need Attention
387,1976,38,Millennials,Non-degree,Married,7500.0,0,0,2,2012-11-13,59,6,16,11,11,1,16,192,64,55,93.5,2.27,160,566.77,61,1,2,0,3,8,6,0,0,0,0,0,0,0,0,Never accepted promos,Lower,59,6,566.77,221,5,Need Attention
2125,1959,55,Gen X,Bachelor,Divorced,63033.0,0,0,1,2013-11-15,82,194,61,480,225,112,30,6208,244,2400,1912.5,254.24,300,11318.74,1102,1,3,4,8,2,16,0,0,0,0,0,0,0,0,Never accepted promos,Upper-Middle,82,16,11318.74,133,7,Promising Customer
8180,1952,62,Baby Boomers,Master,Divorced,59354.0,1,1,3,2013-11-15,53,233,2,53,3,5,14,7456,8,265,25.5,11.35,140,7905.85,310,3,6,1,5,6,15,0,0,0,0,0,0,0,0,Never accepted promos,Upper-Middle,53,15,7905.85,233,8,Promising Customer
